Title,Author,Year,Download Link,Language
"The Basel CommentaryHomer’s Iliad. Book VI 9781501501760, 1501501763, 9781501501777, 1501501771, 9781501501807, 1501501801, 9781614517399, 1614517398","Stoevesandt, Magdalene",2016,https://download.library.lol/main/2240000/ba1c4c18cf9d08ac4a46d7550010a3b3/%28The%20Basel%20Commentary%29%20Stoevesandt%2C%20Magdalene%20-%20Homer%E2%80%99s%20Iliad.%20Book%20VI-de%20Gruyter%20%282016%29.pdf,English
"The Basel CommentaryHomer’s Iliad. Book XIX 9781501504341, 1501504347, 9781501504419, 150150441X","Coray, Marina",2016,https://download.library.lol/main/2240000/50efca9926aa4bc8e3a4fa2733dd2cb2/%28The%20Basel%20Commentary%29%20Coray%2C%20Marina%20-%20Homer%E2%80%99s%20Iliad.%20Book%20XIX-de%20Gruyter%20%282016%29.pdf,English
"The Basel CommentaryHomer’s Iliad. Book XXIV 9781501512292, 1501512293, 9781614517375, 1614517371, 9781614517382, 161451738X, 9781614517399, 1614517398, 9783110568868, 3110568861","Brügger, Claude",2015/9999,https://download.library.lol/main/2240000/fbfb96b08f43596455c3305faf6a7cb8/%28The%20Basel%20Commentary%29%20Br%C3%BCgger%2C%20Claude%20-%20Homer%E2%80%99s%20Iliad.%20Book%20XXIV-De%20Gruyter%20%282015_9999%29.pdf,English
"The Basel CommentaryHomer’s Iliad. Book XIV 9783110568868, 3110568861",Krieter-Spiro,2018,https://download.library.lol/main/2240000/b784adc3efa78cf838bf268b0820b2e1/%28The%20Basel%20Commentary%29%20Krieter-Spiro%20-%20Homer%E2%80%99s%20Iliad.%20Book%20XIV-de%20Gruyter%20%282018%29.pdf,English
"Cambridge Greek and Latin ClassicsHomer: Iliad Book 22 9781139029902, 1139029908","de Jong, Irene J. F.",2012,https://download.library.lol/main/2240000/58f19234d52e26994606fe17f236595a/%28Cambridge%20Greek%20and%20Latin%20Classics%29%20de%20Jong%2C%20Irene%20J.%20F.%20-%20Homer_%20Iliad%20Book%2022-Cambridge%20University%20Press%20%282012%29.pdf,English
"Durham Medieval Texts, 4Old English Minor Heroic Poems [Reprint ed.] 0950598933,  9780950598932",Joyce Hill (ed.),1987,https://download.library.lol/main/2240000/ec1619b92f2eba3245767ebd2843a79c/%28Durham%20Medieval%20Texts%2C%204%29%20Joyce%20Hill%20%28ed.%29%20-%20Old%20English%20Minor%20Heroic%20Poems-Durham%20and%20St.%20Andrews%20Medieval%20Texts%20%281987%29.pdf,English
"Divination and prediction in early China and ancient Greece 9780511863233, 0511863233, 9781107010758, 1107010756","Raphals, Lisa Ann",2013,https://download.library.lol/main/2240000/2cf49364062081f8a24b3b5a19231e28/Raphals%2C%20Lisa%20Ann%20-%20Divination%20and%20prediction%20in%20early%20China%20and%20ancient%20Greece-Cambridge%20University%20Press%20%282013%29.pdf,English
"The Hero and the King: An Epic Theme 0231053541, 9780231053549",William T. H. Jackson,1982,https://download.library.lol/main/2240000/fd04d4f9a859b1a0eb5dcd4b61a9150b/William%20T.%20H.%20Jackson%20-%20The%20Hero%20and%20the%20King_%20An%20Epic%20Theme-Columbia%20University%20Press%20%281982%29.pdf,English
"Cornell PaperbacksThe Stag of Love: The Chase in Medieval Literature [Reprint ed.] 080147969X,  9780801479694",Marcelle Thiébaux,2014,https://download.library.lol/main/2241000/a0025382bdf18031b16b1105a1f1b78a/%28Cornell%20Paperbacks%29%20Marcelle%20Thi%C3%A9baux%20-%20The%20Stag%20of%20Love_%20The%20Chase%20in%20Medieval%20Literature-Cornell%20University%20Press%20%282014%29.pdf,English
Studies in Medieval Literature: In Honor of Professor Albert Croll Baugh,MacEdward Leach (ed.),1961,https://download.library.lol/main/2241000/fb5e9f6e3925a016e17eb20594956ad5/MacEdward%20Leach%20%28ed.%29%20-%20Studies%20in%20Medieval%20Literature_%20In%20Honor%20of%20Professor%20Albert%20Croll%20Baugh-University%20of%20Pennsylvania%20Press%20%281961%29.pdf,English
